ID	POST
4351	1
1350	0
1390	0
15371	1
15641	1
19801	1
20041	1
20071	1
20101	1
20641	1
641	1
711	1
841	1
891	1
5031	1
1400	0
2090	0
2200	0
7091	1
2120	0
2210	0
6530	0
7271	1
6991	1
7011	1
7341	1
7881	1
12471	1
12721	1
12811	1
7200	0
18551	1
17741	1
17801	1
7230	0
17901	1
18321	1
18361	1
18651	1
18741	1
18781	1
3981	1
9831	1
15271	1
15291	1
15611	1
15631	1
15691	1
15821	1
16011	1
6800	0
16731	1
17731	1
19671	1
19681	1
19711	1
7440	0
7590	0
19741	1
7600	0
7670	0
19761	1
19781	1
19791	1
7470	0
7490	0
611	1
651	1
110	0
500	0
741	1
100	0
1781	1
490	0
6921	1
7041	1
7051	1
12451	1
12631	1
17651	1
17701	1
17721	1
17821	1
7130	0
7250	0
17831	1
7080	0
18051	1
7120	0
18371	1
7210	0
18431	1
7220	0
7240	0
7260	0
18831	1
3941	1
5051	1
9811	1
12951	1
13251	1
13271	1
14071	1
15261	1
15401	1
15251	1
19621	1
19841	1
601	1
951	1
1541	1
1551	1
2451	1
6901	1
6931	1
7021	1
7701	1
7771	1
12361	1
17621	1
17661	1
17671	1
17771	1
7290	0
18991	1
19021	1
7330	0
19041	1
3701	1
4031	1
12201	1
12501	1
12511	1
4860	0
5160	0
12621	1
4980	0
5020	0
5150	0
12851	1
5620	0
12961	1
13581	1
5730	0
5860	0
13821	1
6380	0
6400	0
6410	0
14241	1
15311	1
15331	1
21061	1
9781	1
9851	1
9861	1
3630	0
10081	1
15211	1
15301	1
15411	1
6360	0
15591	1
16871	1
7090	0
7100	0
16921	1
21071	1
19591	1
19651	1
19721	1
19811	1
20011	1
581	1
661	1
2741	1
6801	1
12311	1
12591	1
13111	1
5350	0
5360	0
7810	0
13151	1
5340	0
17611	1
17711	1
17751	1
7640	0
7650	0
17941	1
17991	1
7660	0
20611	1
7700	0
7710	0
20631	1
20701	1
3601	1
3781	1
950	0
6591	1
2000	0
6631	1
9661	1
9691	1
3400	0
3770	0
3780	0
9711	1
10281	1
10301	1
10441	1
15181	1
15201	1
6320	0
6770	0
7070	0
16941	1
17001	1
17171	1
6890	0
6900	0
6920	0
17191	1
17841	1
18731	1
19561	1
19751	1
551	1
3041	1
680	0
3761	1
1360	0
1880	0
4441	1
1220	0
4641	1
4920	0
4651	1
3740	0
4801	1
5181	1
7101	1
7141	1
2240	0
12531	1
12601	1
18841	1
6781	1
10031	1
10061	1
10381	1
12161	1
12171	1
5260	0
12221	1
12231	1
4940	0
12261	1
4600	0
4760	0
5090	0
5240	0
5250	0
5270	0
5470	0
12271	1
12351	1
12411	1
12461	1
12581	1
12691	1
5010	0
5280	0
5480	0
5810	0
12711	1
12751	1
12891	1
5120	0
5130	0
13201	1
13321	1
13591	1
17501	1
3371	1
3411	1
1990	0
3451	1
1460	0
9641	1
15131	1
15151	1
15161	1
6270	0
15191	1
6300	0
19481	1
19731	1
21851	1
7900	0
541	1
751	1
6681	1
6721	1
6751	1
6771	1
12071	1
12181	1
12701	1
17481	1
3311	1
3321	1
3991	1
4211	1
4411	1
4471	1
4661	1
4831	1
4861	1
4871	1
4901	1
4911	1
5681	1
5721	1
1610	0
5861	1
9551	1
10311	1
10361	1
15091	1
19431	1
19451	1
19491	1
19501	1
19521	1
19531	1
19541	1
7400	0
19551	1
19581	1
7520	0
7530	0
20001	1
20511	1
7690	0
20691	1
531	1
761	1
6441	1
8571	1
8641	1
8751	1
8871	1
9491	1
9921	1
10161	1
10191	1
10201	1
10211	1
10221	1
10241	1
10771	1
10801	1
10871	1
11121	1
11161	1
11771	1
21841	1
22041	1
22151	1
12061	1
12091	1
12101	1
12111	1
12401	1
13011	1
14301	1
14671	1
14711	1
17471	1
3231	1
9531	1
9761	1
15021	1
15031	1
15051	1
6220	0
6230	0
6240	0
6430	0
15341	1
6450	0
15381	1
15471	1
15481	1
6370	0
6390	0
16461	1
19411	1
19881	1
7480	0
19901	1
19931	1
20381	1
521	1
591	1
901	1
1571	1
2341	1
4331	1
6331	1
6341	1
6481	1
6661	1
12041	1
12081	1
12121	1
12191	1
17361	1
17421	1
17441	1
3221	1
3421	1
1450	0
3441	1
1240	0
4011	1
1280	0
4141	1
1200	0
1250	0
4381	1
4541	1
1260	0
4611	1
1270	0
1300	0
1700	0
4631	1
5171	1
5231	1
1490	0
1500	0
1580	0
1680	0
1860	0
5491	1
1570	0
1780	0
5551	1
1710	0
5561	1
1770	0
6141	1
6511	1
7061	1
8331	1
12971	1
9501	1
9721	1
3530	0
3580	0
14991	1
15141	1
15281	1
15711	1
15861	1
16301	1
6750	0
19371	1
19391	1
511	1
571	1
2421	1
6261	1
12031	1
13001	1
18151	1
18241	1
19321	1
19381	1
7410	0
17351	1
17811	1
20771	1
3191	1
9401	1
9631	1
9771	1
9791	1
3900	0
14941	1
15061	1
15071	1
15081	1
19361	1
461	1
491	1
781	1
6211	1
6601	1
6641	1
7001	1
2060	0
2260	0
7421	1
2280	0
7741	1
8841	1
13491	1
13691	1
