ID	DIC	FILLERS	
20981	75.0000	0.0000	
20991	37.5000	0.0000	
21081	70.8333	0.0000	
21381	81.0345	0.0000	
21441	93.3333	0.0000	
21451	90.9091	0.0000	
21471	95.4545	0.0000	
21481	88.8889	0.0000	
21731	81.8182	0.0000	
21911	100.0000	0.0000	
21931	100.0000	0.0000	
21951	85.1064	0.0000	
21961	86.1111	0.0000	
21971	85.4167	0.0000	
21981	50.0000	0.0000	
1091	83.5443	0.0000	
1121	91.6667	0.0000	
1191	78.3784	0.0000	
310	85.7143	0.0000	
1341	58.3333	0.0000	
7441	74.4318	0.0000	
7781	100.0000	0.0000	
2930	70.0000	0.0000	
3680	57.1429	0.0000	
4200	95.6522	0.0000	
4290	88.2353	0.0000	
4660	87.5000	0.0000	
4670	88.1818	0.0000	
4700	78.9474	0.0000	
8011	78.8462	0.0000	
2490	90.9091	0.0000	
2660	95.0000	0.0000	
3540	82.0896	0.0000	
3550	83.8710	0.0000	
8141	88.6792	0.0000	
4170	72.3684	0.0000	
4190	83.8028	0.0000	
8171	83.3333	0.0000	
2570	84.0000	0.0000	
2800	80.7692	0.0000	
2840	76.4706	0.0000	
8691	71.4286	0.0000	
2790	69.2308	0.0000	
8701	91.6667	0.0000	
8881	33.3333	0.0000	
9071	77.7778	0.0000	
2970	66.6667	0.0000	
2980	71.6667	0.0000	
3000	57.1429	0.0000	
9131	88.2353	0.0000	
2990	100.0000	0.0000	
9151	100.0000	0.0000	
9181	66.6667	0.0000	
9321	85.0000	0.0000	
9421	80.0000	0.0000	
9571	80.0000	0.0000	
9591	88.8889	0.0000	
9931	70.5882	0.0000	
3570	74.5455	0.0000	
4030	79.5918	0.0000	
9971	66.6667	0.0000	
10001	66.6667	0.0000	
10261	88.5714	0.0000	
10621	93.3333	0.0000	
10731	68.4211	0.0000	
11031	80.7692	0.0000	
11081	92.3077	0.0000	
11871	75.0000	0.0000	
4260	82.0000	0.0000	
4310	94.2857	0.0000	
4540	94.0000	0.0000	
4580	97.4359	0.0000	
5820	86.6667	0.0000	
12431	78.8889	0.0000	
4790	85.1852	0.0000	
15221	100.0000	0.0000	
13161	75.0000	0.0000	
18211	70.7071	0.0000	
4771	75.7576	0.0000	
4841	85.2273	0.0000	
13131	78.3133	0.0000	
10521	87.2881	0.0000	
10711	82.4324	0.0000	
4020	80.0000	0.0000	
11051	84.0580	0.0000	
15871	76.9231	0.0000	
15881	44.9198	0.0000	
20551	81.7610	0.0000	
20601	77.6471	0.0000	
1071	31.2500	0.0000	
1111	72.0000	0.0000	
1601	85.7143	0.0000	
320	82.7586	0.0000	
1661	67.7419	0.0000	
380	78.5714	0.0000	
7391	70.0980	0.0000	
7431	69.3182	0.0000	
7461	81.9328	0.0000	
7521	75.0000	0.0000	
7551	47.0588	0.0000	
2810	75.2688	0.0000	
7661	68.5950	0.0000	
7761	75.9690	0.0000	
7831	68.4729	0.0000	
7921	80.3738	0.0000	
2830	26.8293	0.0000	
8601	63.8889	0.0000	
13091	77.4648	0.0000	
13191	72.1030	0.0000	
13261	87.0000	0.0000	
13371	78.9062	0.0000	
5390	77.7778	0.0000	
13431	70.5882	0.0000	
14441	89.0411	0.0000	
18181	33.3333	0.0000	
4751	48.2759	0.0000	
10501	73.5294	0.0000	
15831	55.4054	0.0000	
20341	56.7568	0.0000	
20411	80.0000	0.0000	
20481	66.6667	0.0000	
20531	83.6735	0.0000	
20571	71.4286	0.0000	
1061	77.2727	0.0000	
1131	69.3548	0.0000	
1441	72.9730	0.0000	
1451	85.1852	0.0000	
2291	80.2817	0.0000	
7371	84.0426	0.0000	
13051	80.1242	0.0000	
13571	75.0000	0.0000	
18161	78.1991	0.0000	
18171	81.8182	0.0000	
7160	76.9231	0.0000	
18191	80.0000	0.0000	
18201	80.7229	0.0000	
18231	75.6757	0.0000	
18381	80.8000	0.0000	
20741	80.5556	0.0000	
4711	80.5556	0.0000	
10481	73.6364	0.0000	
