ID	VOTES
4720	1
11781	0
11961	2
12331	0
4730	2
12441	0
15931	71
18971	21
7940	3
19011	30
19111	14
19151	18
19181	10
7580	0
19191	11
19401	12
19441	5
19511	6
19571	6
19601	6
19611	7
19631	5
19641	4
19661	2
19691	7
19821	5
19851	6
19891	8
7510	3
19921	6
19941	6
7860	2
20061	5
20081	5
20121	4
20131	4
20151	5
20181	4
20191	3
20211	4
20221	4
20231	4
20251	3
20261	3
20281	4
20301	4
20311	6
20321	1
20331	2
20361	2
20371	4
20401	3
20461	4
20471	2
20651	2
20661	3
20671	2
20831	2
20911	1
21011	1
21021	2
21031	1
21131	1
21141	1
21151	2
21161	1
21171	1
21181	1
21191	1
21211	1
21271	3
21291	1
21301	1
21351	1
21361	1
21401	1
21411	2
21501	2
21511	0
21521	0
21541	0
21581	1
21591	0
21601	2
21621	0
21651	1
21671	0
21681	0
21831	0
21901	0
21941	0
21991	1
22001	0
22011	0
22021	0
22031	0
22061	1
22071	0
22081	0
22101	0
22121	0
22131	0
22141	0
7950	0
20561	21
20841	15
7780	2
7880	6
7890	0
20901	2
20921	1
20931	3
20971	6
20981	6
20991	12
21081	1
21381	18
21441	0
21451	3
21471	0
21481	2
21731	2
21911	2
21931	0
21951	1
21961	2
21971	1
21981	3
1091	3
1121	0
1191	7
310	0
1341	1
7441	87
7781	2
2930	1
3680	0
4200	1
4290	1
4660	0
4670	3
4700	0
8011	2
2490	0
2660	0
3540	1
3550	1
8141	1
4170	1
4190	0
8171	0
2570	1
2800	1
2840	0
8691	0
2790	1
8701	1
8881	1
9071	2
2970	0
2980	1
3000	1
9131	2
2990	0
9151	1
9181	1
9321	1
9421	1
9571	1
9591	1
9931	1
3570	3
4030	1
9971	1
10001	1
10261	1
10621	1
10731	2
11031	1
11081	2
11871	0
4260	1
4310	0
4540	0
4580	1
5820	0
12431	2
4790	4
15221	1
13161	0
18211	0
4771	0
4841	0
13131	0
10521	1
10711	1
4020	0
11051	2
15871	1
15881	0
20551	1
20601	0
1071	0
1111	1
1601	0
320	0
1661	0
380	1
7391	3
7431	1
7461	0
7521	2
7551	2
2810	0
7661	2
7761	1
7831	1
7921	0
2830	0
8601	2
13091	0
13191	0
13261	0
13371	1
5390	0
13431	0
14441	0
18181	0
4751	0
10501	0
15831	0
20341	21
20411	1
20481	1
20531	2
20571	1
1061	0
1131	1
1441	0
1451	1
2291	0
7371	1
13051	0
13571	0
18161	2
18171	0
7160	0
18191	1
18201	0
18231	3
18381	0
20741	0
4711	1
10481	0
10511	0
3840	0
10531	0
15781	1
17871	1
20241	0
20391	0
7630	0
1041	0
1081	0
120	0
140	0
1101	2
160	0
230	0
7321	3
7331	3
7351	1
7451	2
7501	1
7631	1
13041	0
13071	3
5490	0
13361	1
14961	0
18121	0
4601	6
10471	40
11651	4
11991	-1
4430	2
12381	14
12391	15
4770	0
6330	3
6950	1
6960	0
6980	0
14751	6
6180	2
6200	1
6730	0
16191	0
16321	1
16861	4
17181	4
7030	0
17581	1
7020	0
7040	0
17691	0
15741	5
15761	0
15791	0
15801	0
6820	0
15971	1
15991	1
6710	2
6830	0
16001	1
6700	0
18131	1
20171	3
1031	0
1261	0
1271	0
1681	0
560	0
880	0
1640	0
1980	0
1701	0
2050	0
1791	0
450	0
990	0
1370	2
1851	0
1891	0
460	0
1030	0
1931	0
890	0
1941	0
1040	0
1110	0
1740	0
1991	1
2031	0
2181	0
1060	0
2231	0
2241	0
2251	0
2261	0
2301	0
1070	2
1530	0
2321	1
900	1
970	0
2331	1
580	0
590	3
1340	0
1630	1
2351	0
2361	0
1670	0
2371	0
2411	0
2461	0
2501	0
2511	0
2521	0
2531	0
2541	0
2551	0
2591	0
2611	0
2661	0
2701	0
2871	0
2891	0
2901	0
1970	0
2931	0
2941	0
2951	0
2971	0
2981	8
700	0
2991	0
3001	0
3011	0
3021	0
810	0
3031	0
3051	0
3061	1
3071	0
820	0
3081	0
3131	1
3141	0
1660	0
3181	0
3201	1
980	0
1290	0
3251	0
3291	0
3361	0
3381	0
910	0
1420	0
3431	0
3461	1
3481	0
3491	0
3551	0
3581	0
3611	0
3641	0
3671	0
3801	1
3831	1
3861	0
3891	0
3911	0
1000	0
1020	3
3951	0
1080	0
1120	0
3961	0
3971	0
4001	0
4061	0
4071	0
4081	0
4161	0
4181	0
4221	0
4281	0
4291	0
4761	0
4811	0
5361	0
5411	0
5541	0
5711	0
5811	0
5971	0
6001	0
6021	0
6031	0
6071	0
6241	0
6291	0
6351	0
6401	0
6421	0
6451	0
6581	0
6701	0
6711	0
6731	0
6821	0
6841	0
6871	0
6881	0
6891	0
7311	2
8481	0
12731	0
12931	0
14931	0
18091	0
4591	1
10401	7
15661	1
15681	0
15771	0
20111	7
20491	1
20581	2
20721	0
20811	0
22051	1
1011	0
7301	4
7901	0
2530	0
2540	0
8201	0
12871	0
12981	1
13021	1
5190	0
13921	0
18031	0
4571	4
5431	0
5461	0
10341	0
10351	0
15651	0
20091	2
21531	0
21611	1
911	0
931	0
7261	0
12801	0
12821	0
5060	1
5080	-2
12841	0
13851	1
18001	1
18101	0
18301	1
7180	1
18461	1
18481	0
4491	0
6541	0
10251	2
10291	4
10331	1
3910	0
4010	0
10661	1
3920	0
3930	0
10691	1
3940	0
10741	2
3950	0
10881	1
10961	1
3980	0
4000	1
10991	1
15581	0
19991	0
811	0
1281	0
410	0
1471	0
420	0
2391	0
8101	0
2560	0
7231	2
7281	0
7291	0
7471	0
7481	0
7511	0
7601	3
2310	1
2380	0
2450	0
7641	0
7681	1
2370	0
2400	0
7811	0
7951	0
2770	0
2920	0
8051	1
12761	74
12921	2
5140	0
5660	1
12941	2
5170	0
13061	2
13221	1
13241	1
13711	1
13741	1
13771	1
13891	1
13901	1
13931	1
13941	1
13971	3
14261	1
14321	1
14331	2
14451	2
14521	2
14591	2
14621	2
15951	1
6670	2
6680	0
6690	0
16131	0
16261	0
17971	2
18221	0
4301	0
4341	0
10231	0
15531	2
19961	0
20021	2
20271	0
731	12
851	0
1161	0
190	10
1190	5
1351	5
530	0
1631	0
550	0
1711	2
540	1
2121	0
710	0
3331	6
4561	3
4891	1
4951	3
6221	2
6651	1
6851	1
6861	0
10391	0
10411	0
11701	0
7211	0
7531	0
7561	0
7611	0
10461	4
12681	0
13141	1
13611	0
13641	3
5570	0
17961	2
18631	1
7370	0
18761	0
7280	0
19261	0
4231	14
4251	6
4361	1
4481	4
4551	1
4621	4
7151	0
7181	0
10051	1
10101	0
10581	0
15451	10
15491	0
15501	0
15911	1
15921	4
15961	1
15981	0
16161	0
16421	0
19951	1
20161	5
20501	0
20781	0
20821	0
21551	0
701	0
721	0
1641	0
1741	0
1821	0
1901	0
1921	0
