ID	ABSOLUTE_POS	RELATIVE_POS	ABSOLUTE_NEG	RELATIVE_NEG
9191	2.0000	0.0299	2.0000	0.0299
3010	3.0000	0.0263	3.0000	0.0263
3030	4.0000	0.0265	4.0000	0.0265
9221	0.0000	0.0000	0.0000	0.0000
9241	1.0000	0.0172	1.0000	0.0172
9261	4.0000	0.0284	4.0000	0.0284
9521	4.0000	0.0231	4.0000	0.0231
3230	4.0000	0.0215	4.0000	0.0215
3280	4.0000	0.0173	4.0000	0.0173
3300	4.0000	0.0156	4.0000	0.0156
3320	5.0000	0.0179	5.0000	0.0179
9891	4.0000	0.0597	4.0000	0.0597
3560	6.0000	0.0583	6.0000	0.0583
10011	1.0000	0.0312	1.0000	0.0312
10151	4.0000	0.0465	4.0000	0.0465
10371	0.0000	0.0000	0.0000	0.0000
13441	1.0000	0.0130	1.0000	0.0130
13501	0.0000	0.0000	0.0000	0.0000
5430	1.0000	0.0023	1.0000	0.0023
6310	1.0000	0.0022	1.0000	0.0022
6350	1.0000	0.0020	1.0000	0.0020
13751	0.0000	0.0000	0.0000	0.0000
5980	0.0000	0.0000	0.0000	0.0000
14311	1.0000	0.0227	1.0000	0.0227
18271	1.0000	0.0238	1.0000	0.0238
4971	9.0000	0.0398	9.0000	0.0398
5271	2.0000	0.0339	2.0000	0.0339
5301	0.0000	0.0000	0.0000	0.0000
6691	5.0000	0.0833	5.0000	0.0833
2020	6.0000	0.0845	6.0000	0.0845
6791	1.0000	0.0204	1.0000	0.0204
10601	1.0000	0.0132	1.0000	0.0132
10721	2.0000	0.0299	2.0000	0.0299
10751	1.0000	0.0385	1.0000	0.0385
12741	2.0000	0.0129	2.0000	0.0129
12861	4.0000	0.0175	4.0000	0.0175
16051	2.0000	0.0088	2.0000	0.0088
17021	4.0000	0.1212	4.0000	0.1212
17051	0.0000	0.0000	0.0000	0.0000
17071	0.0000	0.0000	0.0000	0.0000
6860	0.0000	0.0000	0.0000	0.0000
7170	0.0000	0.0000	0.0000	0.0000
20621	5.0000	0.0467	5.0000	0.0467
20761	2.0000	0.0250	2.0000	0.0250
7740	9.0000	0.0345	9.0000	0.0345
20871	5.0000	0.0505	5.0000	0.0505
7750	7.0000	0.0323	7.0000	0.0323
20941	4.0000	0.0952	4.0000	0.0952
7760	9.0000	0.1286	9.0000	0.1286
20951	7.0000	0.0461	7.0000	0.0461
20961	3.0000	0.1034	3.0000	0.1034
21251	5.0000	0.1220	5.0000	0.1220
21261	1.0000	0.0385	1.0000	0.0385
21281	6.0000	0.1875	6.0000	0.1875
21421	4.0000	0.0645	4.0000	0.0645
21461	1.0000	0.0833	1.0000	0.0833
22111	2.0000	0.0870	2.0000	0.0870
1151	1.0000	0.0070	1.0000	0.0070
1181	1.0000	0.0120	1.0000	0.0120
200	1.0000	0.0093	1.0000	0.0093
210	2.0000	0.0127	2.0000	0.0127
1371	1.0000	0.0059	1.0000	0.0059
1381	0.0000	0.0000	0.0000	0.0000
