ID	RELIGION	LEISURE	ACHIEVEMENT	HOME	WORK	MONEY	DEATH	
8611	0.0000	2.3256	2.3256	0.0000	4.6512	0.0000	0.0000	
9251	0.0000	2.0202	3.0303	0.0000	1.0101	0.0000	0.0000	
9271	0.0000	0.0000	0.0000	0.0000	6.5217	0.0000	0.0000	
14741	0.4219	1.2658	2.1097	0.4219	4.6414	0.8439	0.0000	
14801	0.0000	1.9417	2.9126	0.9709	8.7379	0.0000	0.0000	
14841	0.0000	0.0000	2.9197	0.7299	5.8394	1.4599	0.0000	
15321	0.0000	0.0000	2.4390	0.0000	7.3171	0.0000	0.0000	
15601	0.0000	0.0000	1.5873	0.0000	6.3492	0.0000	0.0000	
16841	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
19171	0.0000	2.1739	2.1739	0.0000	2.1739	0.0000	0.0000	
291	0.0000	0.0000	2.0619	0.0000	6.1856	0.0000	0.0000	
341	0.0000	0.0000	2.8037	0.0000	7.4766	0.0000	0.0000	
30	0.0000	0.0000	2.3810	0.0000	7.1429	0.0000	0.0000	
40	0.0000	0.0000	1.9802	0.0000	4.9505	1.9802	0.0000	
431	0.0000	0.0000	0.0000	0.0000	7.6923	0.0000	0.0000	
441	0.0000	0.0000	1.6949	0.0000	5.0847	3.3898	0.0000	
801	0.0000	0.0000	4.5455	0.0000	9.0909	0.0000	0.0000	
1051	0.0000	4.6512	4.6512	0.0000	11.6279	0.0000	0.0000	
3691	0.0000	0.0000	5.5556	0.0000	11.1111	0.0000	0.0000	
7381	0.0000	0.0000	5.9524	0.0000	9.5238	0.0000	0.0000	
5951	0.0000	4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
6151	0.0000	1.0101	6.0606	0.0000	9.0909	0.0000	0.0000	
11911	0.0000	0.0000	0.0000	0.0000	0.9259	0.9259	0.0000	
17231	0.0000	0.0000	0.0000	0.0000	6.6667	0.0000	0.0000	
17261	0.0000	0.0000	0.0000	0.0000	6.1538	0.0000	0.0000	
17271	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
17301	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
17461	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
17491	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
17591	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
2171	0.0000	0.0000	0.0000	0.0000	2.4390	0.0000	0.0000	
2691	0.0000	1.0152	1.0152	2.0305	4.5685	0.0000	0.0000	
800	0.0000	1.2270	3.6810	0.0000	2.4540	0.0000	0.0000	
2711	0.0000	0.0000	3.2258	1.6129	0.0000	0.0000	0.0000	
2771	0.3704	0.3704	1.1111	1.4815	1.1111	1.8519	0.0000	
9211	0.0000	0.3322	1.3289	0.0000	5.3156	0.3322	0.0000	
9481	0.0000	0.0000	2.4096	0.0000	8.4337	1.2048	0.0000	
9541	0.0000	0.0000	0.0000	0.0000	0.6623	0.0000	0.0000	
9681	0.0000	0.0000	0.0000	0.0000	6.2500	0.0000	0.0000	
4250	0.0000	0.0000	0.0000	0.0000	3.0303	0.0000	0.0000	
9701	0.0000	0.0000	1.0204	0.0000	4.0816	1.0204	0.0000	
3450	0.0000	0.0000	2.3256	0.0000	2.3256	0.0000	0.0000	
9881	0.0000	0.4950	0.9901	0.0000	1.9802	0.0000	0.0000	
9901	0.0000	0.0000	1.6949	1.6949	0.0000	0.0000	0.0000	
10981	0.0000	0.9569	0.4785	0.0000	2.8708	1.4354	0.0000	
4750	0.0000	1.3333	0.0000	0.0000	1.3333	1.3333	0.0000	
11171	0.0000	0.0000	0.0000	0.0000	2.7778	0.0000	0.0000	
11231	0.0000	0.0000	2.3256	0.0000	3.4884	0.0000	0.0000	
11281	0.0000	0.0000	3.9683	0.0000	3.9683	0.0000	0.0000	
12641	0.0000	0.0000	1.7391	0.0000	2.1739	0.0000	0.0000	
14681	0.0000	0.0000	0.0000	0.0000	2.5000	0.0000	0.0000	
19081	1.2987	1.2987	2.5974	0.0000	3.8961	0.0000	1.2987	
20141	2.3256	0.0000	0.0000	0.0000	6.9767	0.0000	2.3256	
20201	0.4184	0.0000	0.4184	0.0000	3.7657	0.4184	0.4184	
20351	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
7610	0.0000	0.0000	0.0000	0.0000	11.1111	0.0000	0.0000	
7620	0.0000	0.0000	6.2500	0.0000	0.0000	0.0000	0.0000	
7680	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
20521	0.0000	1.8519	0.0000	0.0000	1.8519	0.0000	0.0000	
281	0.0000	0.0000	4.2553	0.0000	10.6383	0.0000	0.0000	
941	0.0000	0.0000	5.1948	0.0000	6.4935	0.0000	0.0000	
971	0.0000	1.5152	3.0303	0.0000	16.6667	0.0000	0.0000	
2141	0.0000	0.0000	3.7037	0.0000	14.8148	0.0000	0.0000	
4851	0.0000	2.0000	6.0000	0.0000	12.0000	0.0000	0.0000	
8111	0.0000	0.0000	2.6316	0.0000	13.1579	0.0000	0.0000	
8131	0.0000	0.0000	1.5152	0.0000	6.0606	0.0000	0.0000	
5931	0.0000	0.0000	0.0000	2.3102	1.9802	0.6601	0.0000	
6121	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
1940	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
7031	0.0000	0.6173	1.8519	0.0000	2.4691	0.6173	0.0000	
8261	0.0000	0.0000	0.0000	4.7619	3.1746	0.0000	0.0000	
2630	0.0000	0.0000	0.0000	0.0000	5.8824	0.0000	0.0000	
2650	0.0000	0.0000	0.0000	2.0000	6.0000	6.0000	0.0000	
8401	0.0000	0.0000	0.0000	4.3478	4.3478	0.0000	0.0000	
11901	0.0000	0.0000	0.0000	0.0000	13.6364	0.0000	0.0000	
14021	0.0000	0.0000	2.6316	0.0000	5.2632	0.0000	0.0000	
14421	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
17211	0.0000	0.0000	3.1915	0.0000	1.0638	0.0000	0.0000	
17241	0.0000	2.7778	5.5556	0.0000	2.7778	0.0000	0.0000	
17251	0.0000	0.0000	0.0000	0.0000	4.3478	4.3478	0.0000	
7050	0.0000	0.0000	0.0000	0.0000	3.8462	0.0000	0.0000	
17281	0.0000	0.0000	3.3333	1.6667	3.3333	0.0000	0.0000	
17411	0.0000	0.0000	1.0638	0.0000	2.1277	0.0000	0.0000	
17541	0.0000	3.3333	6.6667	0.0000	6.6667	0.0000	0.0000	
6990	0.0000	9.0909	0.0000	0.0000	9.0909	0.0000	0.0000	
7000	0.0000	0.0000	7.6923	0.0000	0.0000	0.0000	0.0000	
17601	0.0000	1.2658	1.8987	0.0000	1.8987	0.0000	0.0000	
17861	0.0000	0.3846	1.1538	0.3846	0.0000	0.0000	0.0000	
17911	0.0000	0.4695	1.4085	0.4695	0.0000	1.4085	0.0000	
18021	0.0000	0.8696	0.8696	0.0000	5.2174	2.6087	0.0000	
18041	0.0000	0.0000	2.3077	0.0000	4.6154	0.7692	0.0000	
18081	0.0000	0.0000	1.2658	0.0000	0.0000	0.0000	0.0000	
