ID	FIRST	PREV	AVG	MIN	MAX	STDEV
2700	0.0064	0.0052	0.0213	0.0010	0.0881	0.0374
8311	0.2058	0.0080	0.1406	0.0080	0.2711	0.1030
2680	0.0054	0.0532	0.0320	0.0054	0.1108	0.0388
2710	0.0304	0.1045	0.0331	0.0022	0.1045	0.0356
8321	0.3864	0.0011	0.1813	0.0002	0.4983	0.1905
2690	0.0056	0.0004	0.0137	0.0002	0.0529	0.0197
8471	0.2327	0.0294	0.1378	0.0016	0.3042	0.1208
8501	0.0097	0.0288	0.0120	0.0002	0.0302	0.0107
8661	0.0323	0.0361	0.0366	0.0003	0.0714	0.0206
2820	0.0085	0.1066	0.0212	0.0002	0.1066	0.0276
3160	0.0008	0.4018	0.0329	0.0000	0.4018	0.1026
8801	0.0723	0.0252	0.0653	0.0023	0.1621	0.0548
3090	0.0002	0.1324	0.0136	0.0001	0.1324	0.0318
3100	0.0446	0.0073	0.0456	0.0014	0.1549	0.0407
3150	0.1138	0.1388	0.0592	0.0030	0.1533	0.0564
3330	0.0029	0.2377	0.0348	0.0001	0.2377	0.0557
8811	0.2042	0.0037	0.0922	0.0019	0.2979	0.1092
8911	0.2429	0.1741	0.0957	0.0002	0.2800	0.1009
9111	0.1147	0.0976	0.0817	0.0023	0.2087	0.0624
9471	0.2228	0.1961	0.1133	0.0040	0.2646	0.0950
13401	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
13461	0.0138	0.0138	0.0138	0.0138	0.0138	0.0000
13701	0.0516	0.1190	0.0853	0.0516	0.1190	0.0477
13951	0.1382	0.0466	0.0649	0.0100	0.1382	0.0660
14951	0.1625	0.0768	0.1325	0.0160	0.2745	0.1122
6210	0.1164	0.4009	0.1454	0.0161	0.4009	0.1483
15001	0.0131	0.0119	0.0096	0.0059	0.0131	0.0032
15041	0.3099	0.0082	0.1108	0.0001	0.3099	0.1128
6250	0.2784	0.1707	0.1087	0.0135	0.2784	0.0860
15111	0.1487	0.0824	0.0583	0.0027	0.1746	0.0647
15421	0.1088	0.1196	0.0734	0.0007	0.2518	0.0837
18261	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
18331	0.0002	0.0002	0.0002	0.0002	0.0002	0.0000
4941	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10561	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10671	0.2419	0.2419	0.2419	0.2419	0.2419	0.0000
16021	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
16031	0.0090	0.0090	0.0090	0.0090	0.0090	0.0000
16041	0.0224	0.0000	0.0112	0.0000	0.0224	0.0158
16071	0.0000	0.0000	0.0249	0.0000	0.0748	0.0432
16091	0.0000	0.3762	0.1574	0.0000	0.3762	0.1885
16121	0.0673	0.3925	0.1788	0.0673	0.3925	0.1259
16181	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
16251	0.0411	0.0000	0.1820	0.0000	0.4841	0.1783
16311	0.0738	0.1396	0.0766	0.0000	0.1949	0.0640
16341	0.0678	0.2315	0.2686	0.0000	0.6408	0.2285
16441	0.0101	0.0000	0.0133	0.0000	0.0457	0.0162
16491	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
16501	0.0000	0.0000	0.0586	0.0000	0.2417	0.0738
16511	0.1043	0.0450	0.0478	0.0000	0.1352	0.0436
16541	0.1643	0.4230	0.2002	0.0000	0.5499	0.1778
16591	0.0304	0.4249	0.1688	0.0000	0.4419	0.1570
16831	0.0000	0.1812	0.2079	0.0000	0.8523	0.2243
20591	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
