ID	TOTAL PRON	AUXILIARY VERBS	1ST SINGULAR	3RD PLURAL	UNIQUE	NUMBERS	PREPOSITIONS	TOTAL 2ND	CONJUNCTIONS	ARTICLES	SWEAR WORDS	ABBREVIATIONS	1ST PLURAL	FUNCTION WORDS	3RD SINGULAR	SIXLTR	FUTURE TENSE	PERSONAL PRON	QUANTIFIERS	WPS	PRESENT TENSE	NEGATIONS	IMPERSONAL PRON	ADVERBS	PAST TENSE	COMMON VERBS	
4331	6.9930	11.1888	1.3986	0.0000	59.4406	1.3986	10.4895	0.0000	3.4965	16.0839	0.0000	0.0000	0.0000	51.7483	0.0000	27.2727	0.6993	1.3986	1.3986	143.0000	9.7902	1.3986	5.5944	0.6993	0.6993	13.2867	
6331	17.0213	8.5106	6.3830	0.0000	89.3617	2.1277	14.8936	2.1277	4.2553	6.3830	0.0000	0.0000	0.0000	59.5745	0.0000	25.5319	0.0000	8.5106	4.2553	23.5000	4.2553	2.1277	8.5106	2.1277	4.2553	12.7660	
6341	21.7391	8.6957	13.0435	0.0000	100.0000	0.0000	13.0435	0.0000	8.6957	0.0000	0.0000	0.0000	0.0000	56.5217	0.0000	26.0870	0.0000	13.0435	0.0000	11.5000	4.3478	0.0000	8.6957	8.6957	4.3478	13.0435	
6481	20.0000	0.0000	20.0000	0.0000	100.0000	0.0000	20.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	60.0000	0.0000	20.0000	0.0000	20.0000	0.0000	5.0000	0.0000	0.0000	0.0000	20.0000	20.0000	20.0000	
6661	11.6279	4.6512	6.9767	0.0000	83.7209	2.3256	23.2558	0.0000	11.6279	4.6512	0.0000	0.0000	0.0000	58.1395	0.0000	13.9535	0.0000	6.9767	0.0000	21.5000	6.9767	2.3256	4.6512	6.9767	0.0000	6.9767	
12041	11.0000	8.0000	1.0000	2.0000	77.0000	0.0000	17.0000	0.0000	3.0000	5.0000	0.0000	0.0000	0.0000	51.0000	0.0000	22.0000	2.0000	3.0000	5.0000	16.6667	7.0000	2.0000	8.0000	1.0000	1.0000	10.0000	
12081	8.0000	0.0000	4.0000	0.0000	100.0000	0.0000	16.0000	0.0000	4.0000	8.0000	0.0000	0.0000	0.0000	44.0000	0.0000	12.0000	0.0000	4.0000	4.0000	6.2500	8.0000	0.0000	4.0000	8.0000	0.0000	8.0000	
12121	20.0000	0.0000	15.0000	0.0000	95.0000	0.0000	15.0000	0.0000	10.0000	5.0000	0.0000	0.0000	0.0000	55.0000	0.0000	15.0000	0.0000	15.0000	5.0000	20.0000	0.0000	0.0000	5.0000	5.0000	5.0000	5.0000	
12191	10.2041	16.3265	6.1224	0.0000	87.7551	0.0000	12.2449	0.0000	6.1224	4.0816	0.0000	0.0000	0.0000	59.1837	0.0000	28.5714	2.0408	6.1224	2.0408	16.3333	12.2449	2.0408	4.0816	8.1633	2.0408	20.4082	
17361	7.4074	0.0000	0.0000	0.0000	96.2963	0.0000	11.1111	0.0000	0.0000	3.7037	0.0000	0.0000	3.7037	25.9259	0.0000	37.0370	0.0000	3.7037	0.0000	27.0000	0.0000	3.7037	3.7037	3.7037	0.0000	0.0000	
17421	0.0000	0.0000	0.0000	0.0000	93.7500	18.7500	6.2500	0.0000	6.2500	0.0000	0.0000	0.0000	0.0000	12.5000	0.0000	37.5000	0.0000	0.0000	0.0000	16.0000	0.0000	0.0000	0.0000	6.2500	0.0000	0.0000	
17441	33.3333	11.1111	11.1111	0.0000	100.0000	0.0000	11.1111	11.1111	0.0000	0.0000	0.0000	0.0000	0.0000	55.5556	0.0000	11.1111	0.0000	22.2222	0.0000	9.0000	22.2222	0.0000	11.1111	0.0000	0.0000	33.3333	
3221	12.4031	5.4264	0.7752	0.7752	73.6434	0.7752	13.1783	4.6512	3.1008	5.4264	0.0000	0.0000	0.7752	48.8372	0.0000	27.1318	2.3256	6.9767	5.4264	12.9000	6.2016	0.7752	5.4264	3.1008	0.7752	9.3023	
3421	7.7586	6.0345	2.5862	0.0000	72.4138	0.0000	14.6552	0.0000	6.8966	11.2069	0.0000	0.0000	0.8621	51.7241	0.0000	21.5517	2.5862	3.4483	3.4483	58.0000	10.3448	0.8621	4.3103	3.4483	0.8621	15.5172	
1450	8.6420	13.5802	2.4691	0.0000	80.2469	2.4691	7.4074	0.0000	3.7037	11.1111	0.0000	0.0000	0.0000	51.8519	0.0000	18.5185	3.7037	2.4691	6.1728	16.2000	6.1728	2.4691	6.1728	2.4691	0.0000	14.8148	
3441	8.9888	6.7416	2.2472	1.1236	86.5169	2.2472	12.3596	0.0000	5.6180	4.4944	0.0000	0.0000	0.0000	48.3146	0.0000	25.8427	2.2472	3.3708	1.1236	14.8333	5.6180	0.0000	5.6180	7.8652	0.0000	7.8652	
1240	7.4380	9.9174	0.0000	0.0000	73.5537	1.6529	14.8760	0.0000	5.7851	8.2645	0.0000	0.0000	0.0000	53.7190	0.0000	25.6198	1.6529	0.0000	4.1322	24.2000	4.9587	0.8264	7.4380	3.3058	3.3058	11.5702	
4011	3.7975	6.3291	1.2658	1.2658	79.7468	0.0000	15.1899	0.0000	8.8608	6.3291	0.0000	0.0000	0.0000	43.0380	0.0000	40.5063	0.0000	2.5316	2.5316	19.7500	8.8608	0.0000	1.2658	5.0633	1.2658	10.1266	
1280	5.7851	4.1322	1.6529	0.0000	71.9008	0.8264	15.7025	0.0000	4.1322	10.7438	0.0000	0.0000	0.0000	44.6281	0.0000	17.3554	0.8264	1.6529	3.3058	20.1667	6.6116	0.0000	4.1322	2.4793	1.6529	9.9174	
4141	5.8394	6.5693	1.4599	1.4599	75.1825	1.4599	15.3285	0.0000	8.0292	2.9197	0.0000	0.0000	0.0000	45.2555	0.0000	33.5766	0.7299	2.9197	2.9197	27.4000	5.8394	0.7299	2.9197	2.1898	0.7299	8.0292	
1200	14.5455	12.7273	0.9091	0.0000	71.8182	0.0000	11.8182	1.8182	6.3636	6.3636	0.0000	0.0000	0.0000	63.6364	0.0000	20.9091	2.7273	2.7273	3.6364	110.0000	8.1818	1.8182	11.8182	7.2727	1.8182	15.4545	
1250	16.1290	8.0645	1.6129	0.0000	82.2581	0.0000	12.9032	1.6129	3.2258	8.0645	0.0000	0.0000	0.0000	53.2258	0.0000	25.8065	1.6129	3.2258	4.8387	31.0000	6.4516	0.0000	12.9032	6.4516	0.0000	9.6774	
4381	11.4754	6.5574	1.6393	0.0000	65.5738	0.0000	9.8361	0.0000	6.5574	11.4754	0.0000	0.0000	0.0000	55.7377	0.0000	31.1475	3.2787	1.6393	6.5574	61.0000	13.1148	0.0000	9.8361	3.2787	0.0000	16.3934	
4541	4.4444	5.9259	1.4815	1.4815	74.0741	0.7407	17.0370	0.0000	4.4444	5.9259	0.0000	0.0000	0.0000	43.7037	0.0000	31.8519	1.4815	2.9630	5.9259	27.0000	4.4444	0.7407	1.4815	1.4815	0.7407	9.6296	
1260	14.4928	10.1449	1.4493	0.0000	81.1594	0.0000	11.5942	1.4493	7.2464	5.7971	0.0000	0.0000	0.0000	52.1739	0.0000	31.8841	2.8986	2.8986	0.0000	34.5000	7.2464	1.4493	11.5942	5.7971	2.8986	13.0435	
4611	11.2319	4.7101	1.8116	0.0000	57.2464	0.7246	13.0435	3.6232	5.7971	8.6957	0.0000	0.0000	0.0000	55.4348	0.0000	16.6667	0.0000	5.4348	5.4348	138.0000	9.0580	2.1739	5.7971	5.4348	1.4493	10.5072	
1270	16.3265	9.1837	5.1020	0.0000	71.4286	0.0000	18.3673	0.0000	9.1837	7.1429	0.0000	0.0000	0.0000	66.3265	0.0000	22.4490	1.0204	5.1020	5.1020	32.6667	6.1224	3.0612	11.2245	5.1020	4.0816	12.2449	
1300	15.5914	5.3763	4.3011	0.5376	66.1290	0.5376	15.5914	1.6129	7.5269	4.3011	0.0000	0.0000	0.0000	53.7634	0.0000	21.5054	1.6129	6.4516	2.6882	93.0000	5.9140	1.0753	9.1398	4.3011	1.6129	10.2151	
1700	8.5714	14.2857	5.7143	0.0000	91.4286	0.0000	8.5714	0.0000	8.5714	0.0000	0.0000	0.0000	0.0000	51.4286	0.0000	22.8571	0.0000	5.7143	8.5714	11.6667	8.5714	0.0000	2.8571	11.4286	5.7143	14.2857	
4631	8.0000	4.0000	2.0000	4.0000	76.0000	0.0000	16.0000	0.0000	6.0000	10.0000	0.0000	0.0000	2.0000	44.0000	0.0000	22.0000	0.0000	8.0000	2.0000	25.0000	12.0000	0.0000	0.0000	0.0000	0.0000	12.0000	
5171	11.7021	17.0213	1.0638	4.2553	70.2128	0.0000	14.8936	0.0000	8.5106	6.3830	0.0000	0.0000	0.0000	63.8298	0.0000	24.4681	5.3191	5.3191	3.1915	94.0000	10.6383	1.0638	6.3830	9.5745	0.0000	20.2128	
5231	12.2744	5.4152	4.6931	0.3610	62.4549	1.0830	12.2744	0.7220	10.1083	6.8592	0.0000	0.3610	0.0000	52.3466	0.0000	18.7726	0.3610	5.7762	4.6931	39.5714	7.2202	0.7220	6.4982	3.6101	0.7220	8.6643	
1490	11.7021	6.3830	1.0638	0.0000	73.4043	0.0000	12.7660	2.1277	6.3830	8.5106	0.0000	0.0000	0.0000	58.5106	0.0000	18.0851	0.0000	3.1915	5.3191	23.5000	8.5106	1.0638	8.5106	9.5745	1.0638	10.6383	
1500	9.0909	6.9519	1.0695	0.5348	67.3797	0.5348	12.2995	1.0695	5.8824	7.4866	0.0000	0.0000	0.0000	49.7326	0.0000	19.7861	1.0695	2.6738	4.2781	12.4667	8.5561	1.0695	6.4171	5.8824	0.5348	10.1604	
1580	13.0435	10.1449	1.4493	1.4493	78.2609	0.0000	13.0435	1.4493	8.6957	4.3478	0.0000	0.0000	0.0000	50.7246	0.0000	24.6377	0.0000	4.3478	1.4493	69.0000	15.9420	0.0000	8.6957	8.6957	0.0000	17.3913	
1680	8.1081	13.5135	0.0000	0.0000	89.1892	0.0000	13.5135	0.0000	8.1081	10.8108	0.0000	0.0000	0.0000	62.1622	0.0000	27.0270	5.4054	0.0000	2.7027	37.0000	5.4054	0.0000	8.1081	5.4054	0.0000	16.2162	
1860	8.9888	6.7416	1.1236	1.1236	76.4045	0.0000	10.1124	0.0000	6.7416	7.8652	0.0000	0.0000	0.0000	49.4382	0.0000	24.7191	1.1236	2.2472	4.4944	22.2500	4.4944	0.0000	6.7416	6.7416	1.1236	7.8652	
5491	12.3919	8.6455	3.1700	1.7291	55.3314	0.2882	14.1210	0.0000	7.4928	5.4755	0.0000	0.0000	3.7464	55.6196	0.0000	24.4957	3.7464	8.6455	4.3228	57.8333	5.4755	0.8646	3.7464	5.1873	0.5764	11.2392	
1570	10.8108	9.9099	0.9009	0.9009	71.1712	1.8018	13.5135	2.7027	5.4054	11.7117	0.0000	0.0000	0.0000	58.5586	0.0000	24.3243	0.0000	4.5045	1.8018	27.7500	9.9099	0.9009	6.3063	4.5045	0.0000	12.6126	
1780	6.3830	12.7660	2.1277	0.0000	80.8511	0.0000	10.6383	0.0000	8.5106	6.3830	0.0000	0.0000	0.0000	51.0638	0.0000	21.2766	2.1277	2.1277	4.2553	15.6667	4.2553	0.0000	4.2553	4.2553	0.0000	14.8936	
5551	5.6604	15.0943	0.9434	0.0000	62.2642	0.0000	13.2075	0.0000	1.8868	9.4340	0.0000	0.0000	0.0000	52.8302	0.0000	33.0189	1.8868	0.9434	1.8868	17.6667	9.4340	1.8868	4.7170	4.7170	0.0000	15.0943	
1710	12.3596	4.4944	2.2472	1.1236	80.8989	0.0000	14.6067	0.0000	4.4944	6.7416	0.0000	0.0000	3.3708	44.9438	0.0000	28.0899	1.1236	6.7416	2.2472	14.8333	5.6180	0.0000	5.6180	1.1236	0.0000	6.7416	
