ID	ABSOLUTE_MOD	RELATIVE_MOD
21941	2.0000	0.0192
21991	1.0000	0.0179
22001	1.0000	0.0076
22011	0.0000	0.0000
22021	2.0000	0.0282
22031	2.0000	0.0133
22061	1.0000	0.0088
22071	1.0000	0.0062
22081	0.0000	0.0000
22101	0.0000	0.0000
22121	0.0000	0.0000
22131	0.0000	0.0000
22141	0.0000	0.0000
7950	0.0000	0.0000
20561	1.0000	0.0109
20841	0.0000	0.0000
7780	1.0000	0.0625
7880	0.0000	0.0000
7890	1.0000	0.2000
20901	0.0000	0.0000
20921	0.0000	0.0000
20931	1.0000	0.0435
20971	2.0000	0.0274
20981	0.0000	0.0000
20991	0.0000	0.0000
21081	1.0000	0.0370
21381	1.0000	0.0152
21441	0.0000	0.0000
21451	0.0000	0.0000
21471	1.0000	0.0400
21481	0.0000	0.0000
21731	0.0000	0.0000
21911	0.0000	0.0000
21931	0.0000	0.0000
21951	0.0000	0.0000
21961	1.0000	0.0238
21971	0.0000	0.0000
21981	0.0000	0.0000
1091	4.0000	0.0460
1121	1.0000	0.0400
1191	6.0000	0.0211
310	0.0000	0.0000
1341	0.0000	0.0000
7441	3.0000	0.0149
7781	0.0000	0.0000
2930	0.0000	0.0000
3680	0.0000	0.0000
4200	1.0000	0.0385
4290	0.0000	0.0000
4660	3.0000	0.0283
4670	2.0000	0.0168
4700	1.0000	0.0133
8011	1.0000	0.0172
2490	0.0000	0.0000
2660	0.0000	0.0000
3540	1.0000	0.0120
3550	0.0000	0.0000
8141	2.0000	0.0328
4170	4.0000	0.0444
4190	4.0000	0.0272
8171	1.0000	0.1667
2570	1.0000	0.0400
2800	0.0000	0.0000
2840	2.0000	0.0377
8691	0.0000	0.0000
2790	0.0000	0.0000
8701	0.0000	0.0000
8881	0.0000	0.0000
9071	0.0000	0.0000
2970	1.0000	0.0769
2980	4.0000	0.0635
3000	0.0000	0.0000
9131	0.0000	0.0000
2990	0.0000	0.0000
9151	0.0000	0.0000
9181	0.0000	0.0000
9321	0.0000	0.0000
9421	0.0000	0.0000
9571	0.0000	0.0000
9591	0.0000	0.0000
9931	0.0000	0.0000
3570	0.0000	0.0000
4030	1.0000	0.0095
9971	0.0000	0.0000
10001	0.0000	0.0000
10261	2.0000	0.0526
10621	1.0000	0.0294
10731	2.0000	0.0513
11031	1.0000	0.0345
11081	0.0000	0.0000
11871	1.0000	0.0263
4260	1.0000	0.0172
4310	1.0000	0.0263
4540	0.0000	0.0000
4580	2.0000	0.0488
5820	2.0000	0.0645
12431	3.0000	0.0294
4790	1.0000	0.0179
15221	0.0000	0.0000
13161	3.0000	0.0190
18211	4.0000	0.0094
4771	1.0000	0.0270
4841	1.0000	0.0099
13131	0.0000	0.0000
10521	4.0000	0.0301
10711	1.0000	0.0125
4020	1.0000	0.0769
11051	3.0000	0.0411
15871	0.0000	0.0000
15881	3.0000	0.0060
20551	5.0000	0.0276
20601	0.0000	0.0000
1071	0.0000	0.0000
1111	0.0000	0.0000
1601	0.0000	0.0000
320	1.0000	0.0286
1661	0.0000	0.0000
380	0.0000	0.0000
7391	1.0000	0.0042
7431	0.0000	0.0000
7461	2.0000	0.0071
7521	1.0000	0.0088
7551	0.0000	0.0000
2810	1.0000	0.0085
7661	0.0000	0.0000
7761	1.0000	0.0035
7831	1.0000	0.0038
7921	5.0000	0.0431
2830	5.0000	0.0030
8601	0.0000	0.0000
13091	0.0000	0.0000
13191	2.0000	0.0071
13261	2.0000	0.0179
13371	4.0000	0.0278
5390	1.0000	0.0238
13431	1.0000	0.0263
14441	1.0000	0.0116
18181	0.0000	0.0000
4751	1.0000	0.0286
10501	0.0000	0.0000
15831	1.0000	0.0104
